Answer.USDA,Answer.DOC,Answer.DOD,Answer.ED,Answer.DOE,Answer.HHS,Answer.DHS,Answer.DOJ,Answer.VA,Answer.TREAS,Answer.percentAreGiven,Answer.percentShouldBeGiven,Answer.percentToCovidRelief,Answer.question-type.Equally,Answer.question-type.Proportionate_to_population,Answer.question-type.Proportionate_to_spending
10,5,4,6,2,1,3,8,9,7,36,30,54,1,0,0
8,7,1,2,3,4,5,10,7,9,76,74,58,0,1,0
6,6,7,4,5,5,4,3,4,4,77,82,91,0,1,0
5,4,4,6,3,4,2,3,7,2,100,40,20,1,0,0
7,9,7,8,9,8,7,6,10,7,34,47,49,1,0,0
5,5,10,2,3,1,9,8,6,7,71,30,60,1,0,0
3,10,2,7,8,1,5,6,9,4,32,11,51,1,0,0
6,4,6,9,7,9,7,6,5,5,39,61,68,0,1,0
6,8,3,4,7,5,1,2,10,6,50,40,20,0,1,0
6,4,6,7,3,5,6,8,8,7,75,66,40,1,0,0
9,8,8,9,7,7,6,7,5,6,89,99,75,0,1,0
5,4,4,6,7,10,6,3,4,6,47,25,36,0,1,0
6,9,3,5,5,4,2,3,3,7,53,25,27,0,1,0
2,5,7,3,4,1,10,9,6,8,50,20,10,0,1,0
2,2,4,3,2,9,5,4,4,3,41,45,56,1,0,0
9,6,7,8,9,7,8,9,9,6,38,64,74,0,1,0
3,2,7,4,6,1,9,10,8,5,15,13,53,0,1,0
4,8,4,6,5,2,4,2,7,4,38,68,41,1,0,0
9,9,9,9,10,10,10,10,10,10,69,49,81,1,0,0
5,6,8,2,3,9,10,5,3,4,77,70,80,0,1,0
6,8,4,6,3,2,5,6,4,7,61,57,75,1,0,0
1,1,5,2,2,1,3,1,1,1,72,73,10,1,0,0
2,8,10,3,7,1,6,4,5,9,60,5,20,0,1,0
8,8,2,2,3,2,2,4,2,5,75,50,25,1,0,0
1,10,9,10,10,3,10,10,5,10,94,8,11,1,0,0
4,5,4,4,4,5,8,6,5,5,44,100,68,0,1,0
8,9,6,3,7,1,5,2,4,10,60,40,30,0,1,0
5,6,0,10,3,9,1,8,3,7,60,18,12,0,1,0
6,7,10,1,5,2,9,8,3,4,21,2,34,1,0,0
7,8,6,5,8,8,7,4,5,6,83,62,40,0,1,0
10,10,10,10,5,10,5,5,10,2,18,6,20,0,1,0
