HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.USDA,Answer.DOC,Answer.DOD,Answer.ED,Answer.DOE,Answer.HHS,Answer.DHS,Answer.DOJ,Answer.VA,Answer.TREAS,Answer.percentAreGiven,Answer.percentShouldBeGiven,Answer.percentToCovidRelief,Answer.question-type.Equally,Answer.question-type.Proportionate_to_population,Answer.question-type.Proportionate_to_spending,Approve,Reject
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,304SM51WABWZW7I9PQ8OVBMHZ4LBS9,A3305JXS57FT09,Approved,Mon May 03 05:00:38 PDT 2021,Mon May 03 05:03:39 PDT 2021,Thu May 13 05:03:39 PDT 2021,Wed May 05 19:40:18 PDT 2021,,,181,100% (1/1),100% (1/1),100% (1/1),10,5,4,6,2,1,3,8,9,7,36,30,54,TRUE,FALSE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,30MVJZJNHU5N9BKM4CLEC404EJSJ99,A1QBDIKCMD3YQA,Approved,Fri Apr 23 01:04:22 PDT 2021,Fri Apr 23 01:06:24 PDT 2021,Mon May 03 01:06:24 PDT 2021,Mon May 03 01:06:33 PDT 2021,,,122,100% (1/1),100% (1/1),100% (1/1),8,7,1,2,3,4,5,10,7,9,76,74,58,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,30ZX6P7VFGNC9RZNJ36Z2HSQ8GV2JJ,AW99PGWI4S438,Approved,Fri Apr 23 12:03:02 PDT 2021,Fri Apr 23 12:03:34 PDT 2021,Mon May 03 12:03:34 PDT 2021,Mon May 03 12:03:41 PDT 2021,,,32,100% (1/1),100% (1/1),100% (1/1),6,6,7,4,5,5,4,3,4,4,77,82,91,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,30ZX6P7VFGNC9RZNJ36Z2HSQ8K3J2G,A1UQ4MC5J2WIY8,Approved,Sat Apr 24 08:53:14 PDT 2021,Sat Apr 24 08:54:04 PDT 2021,Tue May 04 08:54:04 PDT 2021,Tue May 04 08:54:56 PDT 2021,,,50,100% (1/1),100% (1/1),100% (1/1),5,4,4,6,3,4,2,3,7,2,100,40,20,TRUE,FALSE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,317HQ483IFKC324AN4JJI4GO7U6INK,A2HQOSNTDE5UKV,Approved,Sun May 02 13:47:53 PDT 2021,Sun May 02 13:48:28 PDT 2021,Wed May 12 13:48:28 PDT 2021,Wed May 05 19:40:18 PDT 2021,,,35,100% (1/1),100% (1/1),100% (1/1),7,9,7,8,9,8,7,6,10,7,34,47,49,TRUE,FALSE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,31EUONYN23VZ7TOMNQIFCI6N43CVO7,A13CAAOJ5GP4UQ,Approved,Thu Apr 22 12:47:30 PDT 2021,Thu Apr 22 12:48:52 PDT 2021,Sun May 02 12:48:52 PDT 2021,Sun May 02 12:49:21 PDT 2021,,,82,100% (1/1),100% (1/1),100% (1/1),5,5,10,2,3,1,9,8,6,7,71,30,60,TRUE,FALSE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,31N2WW6R9ZILP79A4DTJ6T5QM9D3F0,A293QMD9FA2804,Approved,Wed Apr 28 22:30:42 PDT 2021,Wed Apr 28 22:33:06 PDT 2021,Sat May 08 22:33:06 PDT 2021,Wed May 05 19:40:18 PDT 2021,,,144,100% (1/1),100% (1/1),100% (1/1),3,10,2,7,8,1,5,6,9,4,32,11,51,TRUE,FALSE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,31QNSG6A5ZLUBB0AYBQ39I0K3LN78K,A3UMYHPHCL1W2O,Approved,Fri Apr 23 12:02:35 PDT 2021,Fri Apr 23 12:04:33 PDT 2021,Mon May 03 12:04:33 PDT 2021,Mon May 03 12:04:41 PDT 2021,,,118,100% (1/1),100% (1/1),100% (1/1),6,4,6,9,7,9,7,6,5,5,39,61,68,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,31QNSG6A5ZLUBB0AYBQ39I0K3OG87K,A2CSV75E3JT58Y,Approved,Sat Apr 24 05:44:05 PDT 2021,Sat Apr 24 05:45:52 PDT 2021,Tue May 04 05:45:52 PDT 2021,Tue May 04 05:46:51 PDT 2021,,,107,100% (1/1),100% (1/1),100% (1/1),10,0,0,30,10,20,10,10,10,10,67,20,30,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,31QNSG6A5ZLUBB0AYBQ39I0K3TU787,A2S089MZC4BPJL,Approved,Sun Apr 25 18:37:28 PDT 2021,Sun Apr 25 18:40:27 PDT 2021,Wed May 05 18:40:27 PDT 2021,Wed May 05 18:40:33 PDT 2021,,,179,100% (1/1),100% (1/1),100% (1/1),6,8,3,4,7,5,1,2,10,6,50,40,20,FALSE,TRUE,FALSE,,
3CMV9YRYQATGNTN237J2STWCQQMLJA,3PKXTM75KB1UZFP26E6UFXV6AJXQF3,Answer a survey about federal spending in general and federal spending during COVID-19,We would like to know how you believe your tax dollars are being spent both before and during the COVID-19 pandemic,"survey, covid, federal, spending",$0.04 ,Thu Apr 22 11:14:16 PDT 2021,300,BatchId:4417755;OriginalHitTemplateId:928390912;,3600,864000,Sun May 09 11:14:18 PDT 2021,,,320DUZ38GFE2OL7UIIRO4LMRI2FGJ1,ACQOEU8KFTVIA,Approved,Sat Apr 24 01:24:18 PDT 2021,Sat Apr 24 01:29:09 PDT 2021,Tue May 04 01:29:09 PDT 2021,Tue May 04 01:29:49 PDT 2021,,,291,100% (1/1),100% (1/1),100% (1/1),6,4,6,7,3,5,6,8,8,7,75,66,40,TRUE,FALSE,FALSE,,
